Datetime,Seconds for HTTP GET by IP,Seconds for HTTP GET by Hostname
2018-03-26T06:59:56Z,0.01,0.01
2018-03-26T07:00:06Z,0.01,0.04
2018-03-26T07:00:16Z,0.01,0.02
2018-03-26T07:00:26Z,0.01,0.03
2018-03-26T07:00:36Z,0.01,0.03
2018-03-26T07:00:46Z,0.01,0.03
2018-03-26T07:00:56Z,0.01,0.04
2018-03-26T07:01:06Z,0.01,0.02
2018-03-26T07:01:17Z,0.01,0.04
2018-03-26T07:01:27Z,0.01,1.52
2018-03-26T07:01:38Z,0.02,0.04
2018-03-26T07:01:48Z,0.02,0.04
2018-03-26T07:01:58Z,0.01,0.04
2018-03-26T07:02:08Z,0.01,0.05
2018-03-26T07:02:18Z,0.01,0.02
2018-03-26T07:02:29Z,0.04,0.03
2018-03-26T07:02:39Z,0.01,0.02
2018-03-26T07:02:49Z,0.01,0.02
2018-03-26T07:02:59Z,0.01,0.02
2018-03-26T07:03:09Z,0.01,0.04
2018-03-26T07:03:19Z,0.01,0.04
2018-03-26T07:03:29Z,0.01,0.04
2018-03-26T07:03:39Z,0.01,0.04
2018-03-26T07:03:49Z,0.02,0.03
2018-03-26T07:03:59Z,0.02,0.04
2018-03-26T07:04:09Z,0.01,0.02
2018-03-26T07:04:19Z,0.01,0.03
2018-03-26T07:04:29Z,0.01,0.02
2018-03-26T07:04:39Z,0.04,0.05
2018-03-26T07:04:49Z,0.01,0.04
2018-03-26T07:05:00Z,0.02,0.07
2018-03-26T07:05:10Z,0.02,0.04
2018-03-26T07:05:20Z,0.01,0.04
2018-03-26T07:05:30Z,0.01,0.04
2018-03-26T07:05:40Z,0.02,0.02
2018-03-26T07:05:50Z,0.01,0.04
2018-03-26T07:06:00Z,0.02,0.03
2018-03-26T07:06:10Z,0.02,0.03
2018-03-26T07:06:20Z,0.02,0.04
2018-03-26T07:06:30Z,0.02,0.03
2018-03-26T07:06:40Z,0.01,0.05
2018-03-26T07:06:50Z,0.01,0.04
2018-03-26T07:07:01Z,0.01,0.02
2018-03-26T07:07:11Z,0.01,0.03
2018-03-26T07:07:21Z,0.01,0.04
2018-03-26T07:07:31Z,0.01,0.04
2018-03-26T07:07:41Z,0.01,0.04
2018-03-26T07:07:51Z,0.01,0.04
2018-03-26T07:08:01Z,0.01,0.03
2018-03-26T07:08:11Z,0.01,0.04
2018-03-26T07:08:21Z,0.02,0.04
2018-03-26T07:08:31Z,0.02,0.03
2018-03-26T07:08:41Z,0.01,0.03
2018-03-26T07:08:51Z,0.02,0.03
2018-03-26T07:09:01Z,0.01,0.02
2018-03-26T07:09:11Z,0.01,0.04
2018-03-26T07:09:22Z,0.01,0.05
2018-03-26T07:09:32Z,0.02,0.03
2018-03-26T07:09:42Z,0.02,0.02
2018-03-26T07:09:52Z,0.02,0.02
2018-03-26T07:10:02Z,0.01,0.04
2018-03-26T07:10:12Z,0.01,0.03
2018-03-26T07:10:22Z,0.02,0.04
2018-03-26T07:10:32Z,0.01,0.03
2018-03-26T07:10:42Z,0.02,0.04
2018-03-26T07:10:52Z,0.01,0.02
2018-03-26T07:11:02Z,0.01,0.02
2018-03-26T07:11:12Z,0.01,0.04
2018-03-26T07:11:22Z,0.01,0.03
2018-03-26T07:11:32Z,0.01,0.03
2018-03-26T07:11:42Z,0.01,0.04
2018-03-26T07:11:53Z,0.02,0.02
2018-03-26T07:12:03Z,0.01,0.02
2018-03-26T07:12:13Z,0.01,0.02
2018-03-26T07:12:23Z,0.01,0.05
2018-03-26T07:12:33Z,0.01,0.03
2018-03-26T07:12:43Z,0.02,0.04
2018-03-26T07:12:53Z,0.01,0.04
2018-03-26T07:13:03Z,0.02,0.04
2018-03-26T07:13:13Z,0.01,0.03
2018-03-26T07:13:23Z,0.01,0.03
2018-03-26T07:13:33Z,0.02,0.05
2018-03-26T07:13:43Z,0.01,0.04
2018-03-26T07:13:53Z,0.01,0.02
2018-03-26T07:14:03Z,0.01,0.02
2018-03-26T07:14:14Z,0.01,0.03
2018-03-26T07:14:24Z,0.01,0.02
2018-03-26T07:14:34Z,0.01,0.05
2018-03-26T07:14:44Z,0.01,0.02
2018-03-26T07:14:54Z,0.01,0.02
2018-03-26T07:15:04Z,0.01,0.02
2018-03-26T07:15:14Z,0.01,0.03
2018-03-26T07:15:24Z,0.01,0.04
2018-03-26T07:15:34Z,0.04,0.02
2018-03-26T07:15:44Z,0.01,0.03
2018-03-26T07:15:54Z,0.02,0.03
2018-03-26T07:16:04Z,0.01,0.03
2018-03-26T07:16:14Z,0.01,0.04
2018-03-26T07:16:24Z,0.01,0.04
2018-03-26T07:16:34Z,0.01,0.03
2018-03-26T07:16:44Z,0.02,0.04
2018-03-26T07:16:55Z,0.02,0.04
2018-03-26T07:17:05Z,0.01,0.02
2018-03-26T07:17:15Z,0.02,0.04
2018-03-26T07:17:25Z,0.02,0.03
2018-03-26T07:17:35Z,0.01,0.02
2018-03-26T07:17:45Z,0.02,0.03
2018-03-26T07:17:55Z,0.01,0.02
2018-03-26T07:18:05Z,0.01,0.02
2018-03-26T07:18:15Z,0.02,0.04
2018-03-26T07:18:25Z,0.01,0.05
2018-03-26T07:18:35Z,0.02,0.04
2018-03-26T07:18:45Z,0.01,0.02
2018-03-26T07:18:55Z,0.01,0.03
2018-03-26T07:19:05Z,0.02,0.10
2018-03-26T07:19:16Z,0.02,0.04
2018-03-26T07:19:26Z,0.01,0.13
2018-03-26T07:19:36Z,0.01,0.04
2018-03-26T07:19:46Z,0.01,0.04
2018-03-26T07:19:56Z,0.07,0.02
2018-03-26T07:20:06Z,0.01,0.02
2018-03-26T07:20:16Z,0.01,0.03
2018-03-26T07:20:26Z,0.01,0.03
2018-03-26T07:20:36Z,0.01,0.03
2018-03-26T07:20:46Z,0.02,0.03
2018-03-26T07:20:56Z,0.01,0.02
2018-03-26T07:21:07Z,0.01,0.02
2018-03-26T07:21:17Z,0.02,0.02
2018-03-26T07:21:27Z,0.02,0.04
2018-03-26T07:21:37Z,0.01,0.05
2018-03-26T07:21:47Z,0.02,0.10
2018-03-26T07:21:57Z,0.01,0.02
2018-03-26T07:22:07Z,0.01,0.03
2018-03-26T07:22:17Z,0.02,0.04
2018-03-26T07:22:27Z,0.02,0.04
2018-03-26T07:22:37Z,0.01,0.03
2018-03-26T07:22:47Z,0.01,0.02
2018-03-26T07:22:57Z,0.01,0.04
2018-03-26T07:23:07Z,0.01,0.03
2018-03-26T07:23:17Z,0.01,0.05
2018-03-26T07:23:28Z,0.01,0.04
2018-03-26T07:23:38Z,0.02,0.04
2018-03-26T07:23:48Z,0.01,0.03
2018-03-26T07:23:58Z,0.01,0.03
2018-03-26T07:24:08Z,0.01,0.03
2018-03-26T07:24:18Z,0.02,0.04
2018-03-26T07:24:28Z,0.03,0.02
2018-03-26T07:24:38Z,0.01,0.04
2018-03-26T07:24:48Z,0.02,0.02
2018-03-26T07:24:58Z,0.02,0.03
2018-03-26T07:25:08Z,0.02,0.03
2018-03-26T07:25:18Z,0.01,0.03
2018-03-26T07:25:28Z,0.01,0.04
2018-03-26T07:25:39Z,0.01,0.02
2018-03-26T07:25:49Z,0.02,0.04
2018-03-26T07:25:59Z,0.01,0.03
2018-03-26T07:26:09Z,0.01,0.05
2018-03-26T07:26:19Z,0.01,0.04
2018-03-26T07:26:29Z,0.07,5.53
2018-03-26T07:26:44Z,0.01,0.03
2018-03-26T07:26:55Z,0.02,0.02
2018-03-26T07:27:05Z,0.01,0.04
2018-03-26T07:27:15Z,0.01,0.02
2018-03-26T07:27:25Z,0.01,0.05
2018-03-26T07:27:35Z,0.01,0.11
2018-03-26T07:27:45Z,0.01,0.02
2018-03-26T07:27:55Z,0.01,0.03
2018-03-26T07:28:05Z,0.01,0.03
2018-03-26T07:28:15Z,0.01,0.03
2018-03-26T07:28:25Z,0.01,0.04
